Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team,Match Number
2014-08-16,Premier League,Sat,Home,W,2,1,Crystal Palace,76.0,arsenal,1.0
2014-08-19,Champions Lg,Tue,Away,D,0,0,tr Beşiktaş,46.0,arsenal,
2014-08-23,Premier League,Sat,Away,D,2,2,Everton,54.0,arsenal,2.0
2014-08-27,Champions Lg,Wed,Home,W,1,0,tr Beşiktaş,47.0,arsenal,
2014-08-31,Premier League,Sun,Away,D,1,1,Leicester City,68.0,arsenal,3.0
2014-09-13,Premier League,Sat,Home,D,2,2,Manchester City,45.0,arsenal,4.0
2014-09-16,Champions Lg,Tue,Away,L,0,2,de Dortmund,53.0,arsenal,
2014-09-20,Premier League,Sat,Away,W,3,0,Aston Villa,71.0,arsenal,5.0
2014-09-23,League Cup,Tue,Home,L,1,2,Southampton,,arsenal,
2014-09-27,Premier League,Sat,Home,D,1,1,Tottenham,69.0,arsenal,6.0
2014-10-01,Champions Lg,Wed,Home,W,4,1,tr Galatasaray,52.0,arsenal,
2014-10-05,Premier League,Sun,Away,L,0,2,Chelsea,53.0,arsenal,7.0
2014-10-18,Premier League,Sat,Home,D,2,2,Hull City,66.0,arsenal,8.0
2014-10-22,Champions Lg,Wed,Away,W,2,1,be Anderlecht,58.0,arsenal,
2014-10-25,Premier League,Sat,Away,W,2,0,Sunderland,57.0,arsenal,9.0
2014-11-01,Premier League,Sat,Home,W,3,0,Burnley,68.0,arsenal,10.0
2014-11-04,Champions Lg,Tue,Home,D,3,3,be Anderlecht,62.0,arsenal,
2014-11-09,Premier League,Sun,Away,L,1,2,Swansea City,52.0,arsenal,11.0
2014-11-22,Premier League,Sat,Home,L,1,2,Manchester Utd,61.0,arsenal,12.0
2014-11-26,Champions Lg,Wed,Home,W,2,0,de Dortmund,47.0,arsenal,
2014-11-29,Premier League,Sat,Away,W,1,0,West Brom,52.0,arsenal,13.0
2014-12-03,Premier League,Wed,Home,W,1,0,Southampton,59.0,arsenal,14.0
2014-12-06,Premier League,Sat,Away,L,2,3,Stoke City,58.0,arsenal,15.0
2014-12-09,Champions Lg,Tue,Away,W,4,1,tr Galatasaray,45.0,arsenal,
2014-12-13,Premier League,Sat,Home,W,4,1,Newcastle Utd,51.0,arsenal,16.0
2014-12-21,Premier League,Sun,Away,D,2,2,Liverpool,37.0,arsenal,17.0
2014-12-26,Premier League,Fri,Home,W,2,1,QPR,56.0,arsenal,18.0
2014-12-28,Premier League,Sun,Away,W,2,1,West Ham,42.0,arsenal,19.0
2015-01-01,Premier League,Thu,Away,L,0,2,Southampton,59.0,arsenal,20.0
2015-01-04,FA Cup,Sun,Home,W,2,0,Hull City,,arsenal,
2015-01-11,Premier League,Sun,Home,W,3,0,Stoke City,54.0,arsenal,21.0
2015-01-18,Premier League,Sun,Away,W,2,0,Manchester City,35.0,arsenal,22.0
2015-01-25,FA Cup,Sun,Away,W,3,2,Brighton,,arsenal,
2015-02-01,Premier League,Sun,Home,W,5,0,Aston Villa,48.0,arsenal,23.0
2015-02-07,Premier League,Sat,Away,L,1,2,Tottenham,44.0,arsenal,24.0
2015-02-10,Premier League,Tue,Home,W,2,1,Leicester City,57.0,arsenal,25.0
2015-02-15,FA Cup,Sun,Home,W,2,0,Middlesbrough,,arsenal,
2015-02-21,Premier League,Sat,Away,W,2,1,Crystal Palace,47.0,arsenal,26.0
2015-02-25,Champions Lg,Wed,Home,L,1,3,fr Monaco,55.0,arsenal,
2015-03-01,Premier League,Sun,Home,W,2,0,Everton,47.0,arsenal,27.0
2015-03-04,Premier League,Wed,Away,W,2,1,QPR,57.0,arsenal,28.0
2015-03-09,FA Cup,Mon,Away,W,2,1,Manchester Utd,,arsenal,
2015-03-14,Premier League,Sat,Home,W,3,0,West Ham,68.0,arsenal,29.0
2015-03-17,Champions Lg,Tue,Away,W,2,0,fr Monaco,62.0,arsenal,
2015-03-21,Premier League,Sat,Away,W,2,1,Newcastle Utd,49.0,arsenal,30.0
2015-04-04,Premier League,Sat,Home,W,4,1,Liverpool,49.0,arsenal,31.0
2015-04-11,Premier League,Sat,Away,W,1,0,Burnley,68.0,arsenal,32.0
2015-04-18,FA Cup,Sat,Away,W,2,1,Reading,,arsenal,
2015-04-26,Premier League,Sun,Home,D,0,0,Chelsea,57.0,arsenal,33.0
2015-05-04,Premier League,Mon,Away,W,3,1,Hull City,68.0,arsenal,34.0
2015-05-11,Premier League,Mon,Home,L,0,1,Swansea City,68.0,arsenal,35.0
2015-05-17,Premier League,Sun,Away,D,1,1,Manchester Utd,43.0,arsenal,36.0
