Date,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,team
2012-08-18,Premier League,Matchweek 1,Sat,Home,D,0,0,Sunderland,,,,4-2-3-1,arsenal
2012-08-26,Premier League,Matchweek 2,Sun,Away,D,0,0,Stoke City,,,,4-2-3-1,arsenal
2012-09-02,Premier League,Matchweek 3,Sun,Away,W,2,0,Liverpool,,,,4-2-3-1,arsenal
2012-09-15,Premier League,Matchweek 4,Sat,Home,W,6,1,Southampton,,,,4-2-3-1,arsenal
2012-09-18,Champions Lg,Group stage,Tue,Away,W,2,1,fr Montpellier,,,,,arsenal
2012-09-23,Premier League,Matchweek 5,Sun,Away,D,1,1,Manchester City,,,,4-2-3-1,arsenal
2012-09-29,Premier League,Matchweek 6,Sat,Home,L,1,2,Chelsea,,,,4-2-3-1,arsenal
2012-10-03,Champions Lg,Group stage,Wed,Home,W,3,1,gr Olympiacos,,,,,arsenal
2012-10-06,Premier League,Matchweek 7,Sat,Away,W,3,1,West Ham,,,,4-2-3-1,arsenal
2012-10-20,Premier League,Matchweek 8,Sat,Away,L,0,1,Norwich City,,,,4-2-3-1,arsenal
2012-10-24,Champions Lg,Group stage,Wed,Home,L,0,2,de Schalke 04,,,,,arsenal
2012-10-27,Premier League,Matchweek 9,Sat,Home,W,1,0,QPR,,,,4-2-3-1,arsenal
2012-11-03,Premier League,Matchweek 10,Sat,Away,L,1,2,Manchester Utd,,,,4-2-3-1,arsenal
2012-11-06,Champions Lg,Group stage,Tue,Away,D,2,2,de Schalke 04,,,,,arsenal
2012-11-10,Premier League,Matchweek 11,Sat,Home,D,3,3,Fulham,,,,4-2-3-1,arsenal
2012-11-17,Premier League,Matchweek 12,Sat,Home,W,5,2,Tottenham,,,,4-2-3-1,arsenal
2012-11-21,Champions Lg,Group stage,Wed,Home,W,2,0,fr Montpellier,,,,,arsenal
2012-11-24,Premier League,Matchweek 13,Sat,Away,D,0,0,Aston Villa,,,,4-2-3-1,arsenal
2012-11-28,Premier League,Matchweek 14,Wed,Away,D,1,1,Everton,,,,4-2-3-1,arsenal
2012-12-01,Premier League,Matchweek 15,Sat,Home,L,0,2,Swansea City,,,,4-2-3-1,arsenal
2012-12-04,Champions Lg,Group stage,Tue,Away,L,1,2,gr Olympiacos,,,,,arsenal
2012-12-08,Premier League,Matchweek 16,Sat,Home,W,2,0,West Brom,,,,4-2-3-1,arsenal
2012-12-17,Premier League,Matchweek 17,Mon,Away,W,5,2,Reading,,,,4-2-3-1,arsenal
2012-12-22,Premier League,Matchweek 18,Sat,Away,W,1,0,Wigan Athletic,,,,4-2-3-1,arsenal
2012-12-29,Premier League,Matchweek 20,Sat,Home,W,7,3,Newcastle Utd,,,,4-2-3-1,arsenal
2013-01-01,Premier League,Matchweek 21,Tue,Away,D,1,1,Southampton,,,,4-2-3-1,arsenal
2013-01-13,Premier League,Matchweek 22,Sun,Home,L,0,2,Manchester City,,,,4-2-3-1,arsenal
2013-01-20,Premier League,Matchweek 23,Sun,Away,L,1,2,Chelsea,,,,4-2-3-1,arsenal
2013-01-23,Premier League,Matchweek 19,Wed,Home,W,5,1,West Ham,,,,4-2-3-1,arsenal
2013-01-30,Premier League,Matchweek 24,Wed,Home,D,2,2,Liverpool,,,,4-2-3-1,arsenal
2013-02-02,Premier League,Matchweek 25,Sat,Home,W,1,0,Stoke City,,,,4-2-3-1,arsenal
2013-02-09,Premier League,Matchweek 26,Sat,Away,W,1,0,Sunderland,,,,4-2-3-1,arsenal
2013-02-19,Champions Lg,Round of 16,Tue,Home,L,1,3,de Bayern Munich,,,,,arsenal
2013-02-23,Premier League,Matchweek 27,Sat,Home,W,2,1,Aston Villa,,,,4-2-3-1,arsenal
2013-03-03,Premier League,Matchweek 28,Sun,Away,L,1,2,Tottenham,,,,4-2-3-1,arsenal
2013-03-13,Champions Lg,Round of 16,Wed,Away,W,2,0,de Bayern Munich,,,,,arsenal
2013-03-16,Premier League,Matchweek 30,Sat,Away,W,2,0,Swansea City,,,,4-2-3-1,arsenal
2013-03-30,Premier League,Matchweek 31,Sat,Home,W,4,1,Reading,,,,4-2-3-1,arsenal
